run_label,simulated_seconds_requested,ball_source_for_controllers,perception_samples,detections,detection_rate,blue_score,red_score,match_events,search_ball_requests,mobile_boundary_sample_total,ball_velocity_injected,evidence_status,source_sha256
before_boundary_search,300.0,camera,37379,0,0.0,0,0,0,0,846,False,baseline_only_not_statistical,cc91c0b1573b0ddc3fa16b4117cb8bd9bb0163b17bc9a67ed6ee7b8f9236a6d3
after_boundary_search,60.0,camera,7379,9,0.0012196774630708767,0,0,0,1681,0,False,baseline_only_not_statistical,8cb1c733f0e7066d7543e28a296fbb11dc430318a91e661c6f70e0deca9707b8
